37 35 1291 1328 1291
34 35 1291 2237 2203
27 35 2536 2563 2536
39 35 2536 3685 3646
24 35 1966 1990 1966
25 35 1966 11215 11190
41 35 1120 1161 1120
39 35 816 855 816
38 35 816 1416 1378
28 35 1404 1432 1404
25 35 1707 1732 1707
27 35 1707 14890 14863
42 35 451 493 451
39 35 444 483 444
35 35 580 615 580
38 35 580 1515 1477
27 35 1291 1318 1291
28 35 1769 1797 1769
27 35 3964 3991 3964
43 35 3964 67607 67564
85 35 1360 1445 1360
86 35 1360 11999 11913
49 35 3721 3770 3721
88 35 3721 17702 17614
65 35 23993 24058 23993
