3.507005 2.758448 5.522681 2.785641 35 1291
1.954499 6.403976 4.342075 3.009063 35 2203
2.597246 3.091502 1.383516 2.219027 35 2536
3.392501 4.397946 4.228045 3.633760 35 3646
2.445985 2.739500 1.493945 1.043591 35 1966
3.131431 3.190288 0.763311 2.008164 35 11190
6.695314 1.863715 5.309133 3.402643 35 1120
5.938042 1.799047 6.117695 1.791617 35 816
2.515321 4.362878 7.022855 3.127563 35 1378
3.942176 1.235450 3.789271 0.802540 35 1404
4.614438 1.243962 1.834349 1.348083 35 1707
3.071103 2.608007 0.726353 0.979626 35 14863
