50,72,2.377006 4.637161 4.637161 0.000000,3.642345 2.958911 2.958911 0.000000,2105,2177,2105,0,0,25,49
50,72,2.377006 4.637161 4.637161 0.000000,3.642345 2.958911 2.958911 0.000000,2105,2177,2105,0,0,25,49
50,72,2.377006 4.637161 4.637161 0.000000,3.642345 2.958911 2.958911 0.000000,2105,2177,2105,0,0,25,49
50,72,2.377006 4.637161 4.637161 0.000000,3.642345 2.958911 2.958911 0.000000,2105,2177,2105,0,0,25,49
50,72,2.377006 4.637161 4.637161 0.000000,3.642345 2.958911 2.958911 0.000000,2105,2177,2105,0,0,25,49
50,72,2.377006 4.637161 4.637161 0.000000,3.642345 2.958911 2.958911 0.000000,2105,2177,2105,0,0,25,49
50,64,1.785847 1.787484 1.787484 0.000000,5.157970 12.421899 12.421899 0.000000,3452,3516,3452,0,0,21,49
50,72,2.377006 4.637161 4.637161 0.000000,3.642345 2.958911 2.958911 0.000000,2105,2177,2105,0,0,25,49
50,64,1.785847 1.787484 1.787484 0.000000,5.157970 12.421899 12.421899 0.000000,3452,3516,3452,0,0,21,49
50,72,1.842443 3.233638 3.233638 0.000000,0.863123 1.212441 1.212441 0.000000,415,487,415,0,0,34,0
50,86,3.249397 2.735113 2.735113 0.000000,1.956027 4.442760 4.442760 0.000000,791,877,791,0,0,24,0
50,72,1.842443 3.233638 3.233638 0.000000,0.863123 1.212441 1.212441 0.000000,415,487,415,0,0,34,0
50,86,3.249397 2.735113 2.735113 0.000000,1.956027 4.442760 4.442760 0.000000,791,877,791,0,0,24,0
50,72,1.842443 3.233638 3.233638 0.000000,0.863123 1.212441 1.212441 0.000000,415,487,415,0,0,34,0
50,72,1.842443 3.233638 3.233638 0.000000,0.863123 1.212441 1.212441 0.000000,415,487,415,0,0,34,0
50,86,3.249397 2.735113 2.735113 0.000000,1.956027 4.442760 4.442760 0.000000,791,877,791,0,0,24,0
50,72,1.842443 3.233638 3.233638 0.000000,0.863123 1.212441 1.212441 0.000000,415,487,415,0,0,34,0
50,86,3.249397 2.735113 2.735113 0.000000,1.956027 4.442760 4.442760 0.000000,791,877,791,0,0,24,0
50,72,1.842443 3.233638 3.233638 0.000000,0.863123 1.212441 1.212441 0.000000,415,487,415,0,0,34,0
50,86,3.249397 2.735113 2.735113 0.000000,1.956027 4.442760 4.442760 0.000000,791,877,791,0,0,24,0
50,72,1.842443 3.233638 3.233638 0.000000,0.863123 1.212441 1.212441 0.000000,415,487,415,0,0,34,0
50,86,3.249397 2.735113 2.735113 0.000000,1.956027 4.442760 4.442760 0.000000,791,877,791,0,0,24,0
50,72,1.842443 3.233638 3.233638 0.000000,0.863123 1.212441 1.212441 0.000000,415,487,415,0,0,34,0
50,86,3.249397 2.735113 2.735113 0.000000,1.956027 4.442760 4.442760 0.000000,791,877,791,0,0,24,0
